question,answer,tags,description
Adakah Sonobee menyediakan shoulder scan di cawangan Puncak Alam?,"Untuk maklumat lanjut mengenai shoulder scan dan cawangan yang tersedia, sila hubungi customer service ultrasound 😊

📞 Customer Service Ultrasound

1️⃣ 014-3577226
(Kangar, Penang, Kedah, Kelantan, Perak, Terengganu)

2️⃣ 018-9092933
(Kuala Lumpur, Selangor)

3️⃣ 014-9317226
(Negeri Sembilan, Johor, Sabah, Sarawak, Melaka, Pahang)",general,""
"Nak scan fatty liver sahaja tanpa ambil Upper Abdomen Scan, boleh ke ya",Buat masa ini tidak boleh ya 😊 Pemeriksaan fatty liver adalah termasuk dalam pakej Upper Abdomen Scan dan tidak disediakan secara berasingan.,general,""
May I know the sonographer got FMF certificate?,"Mfm certified scan cert ada,But we conduct anatomy screening",general,""
Adakah SonoBee menyediakan servis 3D baby model?,Tiada,general,""
Boleh saya tahu info tentang antenatal class online?,"💬 Boleh sangat, Puan/Encik 😍 Flabee ada Antenatal Online Workshop khas untuk mommies & daddies yang bakal menyambut cahaya mata.
 
 Dalam kelas ni, mommy akan belajar:
 👶 Persediaan sebelum bersalin
 🤰 Teknik pernafasan & relaksasi
 🍼 Breastfeeding & penjagaan bayi
 
 Kalau puan/encik nak lihat butiran penuh & daftar, boleh klik link ini ya:
 👉 https://appointment.flabee.com/guest/services?category=workshop
  Adakah puan/encik nak saya share tarikh terdekat sekali?”
 
 Kalau ada apa-apa yang tak faham lagi, boleh tanya lagi, saya sedia membantu.",Antenatal,https://appointment.flabee.com/guest/services?category=workshop
Bila tarikh yang ada kosong dan berapa harga satu slot yang ditawarkan kepada cutomers?,"💬 Kelas ini akan dijalankan selama 3 hari secara online.
  📅 Tarikh: [Isikan tarikh event]
 💰 Yuran: [Isikan harga]
 📍 Online (Zoom/Google Meet) – jadi boleh join dari rumah je!
 
 Puan/Encik nak saya bantu teruskan ke pendaftaran?”",Antenatal,""
Saya masih tak pasti nak join atau tidak kelas antenatal ni. Kalau saya join apakah faedah yang saya dapat?,"💬 Tak apa 😊 Ramai mommy-mommy join kelas ni sebab:
  ✨ Lebih bersedia mental & fizikal untuk bersalin
 ✨ Suami pun boleh join sekali (jadi partner lebih faham & supportive)
 ✨ Boleh terus tanya soalan pada trainer berpengalaman
 
 Biasanya lepas join, mommy rasa lebih yakin & tenang. 
  Jika Puan/Encik masih ada persoalan, saya sedia membantu!",Antenatal,""
Boleh saya tahu info tentang prenatal massage?,"💬 Boleh sangat, Puan/Encik 🌸 Prenatal massage ni memang khas untuk ibu mengandung, membantu:
 
 ✨ Kurangkan sakit pinggang & bahu
 ✨ Legakan kaki bengkak
 ✨ Bagi mommy rasa lebih tenang & tidur lena
  Puan/Encik boleh baca lebih lanjut di sini:
 
 👉 Info Prenatal Massage – https://flabee.com/flabee-touch/
  Nak saya share pakej yang ada sekali?",Prenatal; Massage,https://flabee.com/flabee-touch/
"Ya, cuba share sikit pakej apa yang ada?","💬 Okay, baiklah saya berikan beberapa pilihan untuk Puan ya:
  1️⃣ 1 Session – 1.5 jam & lebih konsisten
 2️⃣ 3 Sessions – Lebih Jimat 
  Semua pakej dibuat di rumah mommy sendiri 🏡 Jadi lebih selesa & tak perlu keluar rumah.
  Kalau puan/encik nak lihat butiran penuh & daftar, boleh klik link ini ya: 👉 https://appointment.flabee.com/guest/services?category=prenatal-massage- 
  Nak saya cadangkan pakej ikut keperluan mommy?",Prenatal; Massage,https://appointment.flabee.com/guest/services?category=prenatal-massage-
"Sebelum tu, saya nak tanya harga..Berapakah harga pakej itu?","💬 Okay Puan 😍 Sekarang ada 2 pilihan pakej:
  1 Session – 1.5 jam
 💰 RM180.00
  3 Sessions – 2 jam setiap sesi
 💰 RM499.00 (lebih jimat + lebih masa urutan)
  📍 Semua sesi dilakukan di rumah Puan sendiri 🏡 jadi tak perlu keluar rumah.
  Kalau ada apa-apa yang Puan nak tanya, saya sedia membantu untuk menjawabnya.",Prenatal; Massage; Price,""
Selamat ke massage masa mengandung ni?,"💬 Ya mommy, jangan risau 🤰 Semua therapist kami:
  ✅ Berpengalaman dengan ibu hamil
 ✅ Guna teknik lembut & selamat untuk setiap trimester
 ✅ Fokus pada bahagian yang mommy rasa sakit atau tegang
 ✅ Mempunyai sijil daripada Kementerian Kesihatan Malaysia (KKM)
 Biasanya Puan akan rasa lega lepas 1 sesi. Puan nak saya share feedback customers yang dah cuba sebelum ni?",Prenatal; Massage,""
Boleh juga? ada feedback tak?,"Kalau mommy nak tengok feedback daripada customer sebelum ni, boleh klik link ni ya:
  🎥 Feedback Video – https://www.youtube.com/watch?v=sc_oX6wgK4c
 📖 Mommy juga boleh baca artikel ni untuk lebih info & persediaan sebelum urutan:
 👉 https://flabee.com/prenatal-massage-in-malaysia-benefits-and-important-preparations-for-pregnant-mothers/
  Jika Puan perlukan bantuan lagi, saya sedia membantu untuk jawab YA!",Prenatal; Massage,https://www.youtube.com/watch?v=sc_oX6wgK4c
Boleh saya tahu info tentang phototherapy home rental service?,"Boleh sangat, Puan/Encik 🌸
  Phototherapy home rental service ni khas untuk bantu baby jaundice kuning tanpa perlu ke hospital 🍼.
 Kelebihan servis ni:
 ✨ Baby lebih selesa sebab rawatan di rumah sendiri
 ✨ Mommy & daddy boleh pantau terus
 ✨ Peralatan ikut standard hospital & selamat digunakan
  👉 Untuk detail & booking, boleh klik link ni ya: https://appointment.flabee.com/guest/services?category=phototherapy-home-rental-services
  Puan/Encik nak saya share harga & kawasan coverage sekali?",Phototherapy,https://appointment.flabee.com/guest/services?category=phototherapy-home-rental-services
"Ya, berapa harga kalau nak sewa? harga ikut kawasan ke?","Baik mommy 😍 Ini kadar harga untuk sewaan phototherapy light:
  📍 KL & Selangor → RM400 (minimum 2 hari ) 
 📍 Kalau luar KL & Selangor (Kuantan, Melaka, Alor Setar, Sungai Petani, Perlis, JB & Ipoh) → RM440 (minimum 2 hari)
  👉 Mommy nak saya check availability slot ikut kawasan puan?”",Phototherapy,""
Coverage area kat mana?,"💬 Servis phototherapy home rental ni ada di:
  🏡 KL, Selangor, Kuantan, Melaka, Alor Setar, Sungai Petani, Perlis, Johor Bahru & Ipoh.
  Puan tinggal di kawasan mana ya? Nanti saya boleh guide terus cara booking 😊. 
  Kalau Puan perlukan apa-apa bantuan, saya sedia membantu.",Phototherapy,""
Tapi selamat ke guna mesin ni?,"💬 Jangan risau mommy 🤱
  ✅ Mesin phototherapy kami ikut standard hospital
 ✅ Baby hanya perlu diletakkan dalam katil dengan cahaya biru khas
 ✅ Ada manual & sokongan team kami kalau mommy perlukan bantuan
  Biasanya jaundice baby turun lebih cepat bila rawatan ni dibuat awal. Kalau ada apa-apa lagi yang Puan/Encik nak tahu, saya sedia membantu 💛.",Phototherapy,""
Boleh tengok brand RTE untuk bayi 8 bulan?,"Boleh sangat, Puan/Encik 😍
Untuk bayi umur 7–8 bulan, makanan biasanya:
🥕 Tekstur lebih pekat & sedikit kasar (supaya baby belajar mengunyah)
🍌 Campuran puree buah, sayur & protein
🍚 Sesuai diperkenalkan makanan pelengkap (solid food) yang pelbagai
📖 Mommy boleh tengok koleksi makanan bayi 7–8 bulan di sini ya:
👉 https://mart.flabee.com/collection/7--8--months-old-baby-food",Baby Food,https://mart.flabee.com/collection/7--8--months-old-baby-food
Jenama apa yang ada?,"Okay Puan/Encik 🌸 Di Flabee Mart, memang ada banyak pilihan jenama baby & kids yang trusted. Antara jenama popular ialah:
✨ Little Nuur (pasta & sos natural)
✨ Gnubkins (baby rice & noodles)
✨ Izzly (bijirin & pancake premix)
✨ Baebis (snack bayi sihat)
✨ Fawwaz (pancake & bubur ready-to-eat)
✨ Natufoodies (rice puff & wafer bayi)
✨ Rush (freeze-dried fruits & noodles)
✨ Erio (cereal & snek bayi)
…dan banyak lagi!
👉 Mommy boleh explore semua jenama di sini:
https://mart.flabee.com/brand",Baby Food; Brand,https://mart.flabee.com/brand
Tolong share contoh jenis makanan yang sesuai ikut umur ni?,"💬 Okay mommy 🍼 Antara contoh makanan sesuai untuk umur 7–8 bulan ialah:
🥦 Sayur lembut (brokoli, bayam, lobak merah)
🍌 Buah (pisang, epal, pir – dimasak & dilenyek)
🥔 Starch (ubi kentang, ubi keledek)
🥩 Protein lembut (ayam, ikan isi putih – pastikan tanpa tulang)
👉 Semua ni boleh didapati dalam bentuk puree siap sedia di Flabee Mart.",Baby Food,""
Ada beza ke dengan makanan bayi 6 bulan?,"“Ya mommy 💕 beza utamanya memang pada tekstur & variasi makanan:
👶 6 bulan → makanan lebih halus & lembut (puree cair)
👶 7–8 bulan → dah boleh mula tekstur lebih pekat, ada ketulan halus & lebih banyak jenis bahan
Ini penting supaya baby belajar kunyah perlahan-lahan & biasakan diri dengan rasa baru ✨
👉 Kalau mommy nak explore idea & tips makanan bayi, boleh tengok di Threads Flabee Mart: https://www.threads.com/@flabeemartbabyfood",Baby Food,https://www.threads.com/@flabeemartbabyfood
Selamat ke makanan yang jual di Flabee mart ni?,"💬 “Jangan risau mommy 💛 Semua baby food di Flabee Mart:
✅ Dirumus khas untuk bayi ikut umur
✅ Bebas bahan pengawet & pewarna tiruan
✅ Kaya nutrisi untuk tumbesaran si manja
✅ Dan semetinya HALAL                                                                                                                     Kalau ada apa-apa soalan lagi tentang pemakanan bayi 7–8 bulan, mommy boleh tanya ya 🌸",Baby Food,""
Boleh saya tahu mengenai pakej pantang foods?,"Boleh sangat, Puan/Encik 🌸
Di Flabee Rasa, kami sediakan pakej pantang foods khas untuk mommy yang sedang berpantang — makanan sihat, seimbang & sesuai untuk pemulihan badan 🤱
👉 Mommy boleh baca info penuh di sini:
https://flabee.com/flabee-rasa/
Ini pakej-pakej kami, mommy boleh pilih pakej ikut keperluan:
•        🍲 1 Hari 
•        🍲 3 Hari 
•        🍲 5 Hari 
•        🍲 10 Hari 
•        🍲 20 Hari 
•        🍲 40 Hari 
✨ Lagi lama pakej → lebih jimat & lengkap untuk penjagaan mommy.
Kalau ada pertanyaan mommy boleh terus tanya ya!",Pantang Food,https://flabee.com/flabee-rasa/
Apa perbezaan pakej-pakej itu?,"Okay Puan/Encik 🌸 perbezaan pakej ni lebih kepada tempoh & manfaat untuk mommy:
🍲 1 – 5 Hari → Sesuai kalau mommy nak try dulu rasa & servis. Fokus untuk tenaga asas & pulihkan badan lepas bersalin.
🍲 10 – 20 Hari → Lebih lengkap untuk support proses pemulihan dalaman, kurangkan bengkak & bantu kembalikan tenaga.
🍲 40 Hari (Full Pantang) → Ini pakej paling menyeluruh ✨. Sesuai kalau mommy nak jaga pantang sepenuhnya — lengkap dari segi nutrisi, tenaga, pemulihan rahim & penghasilan susu badan.
👉 Senang cerita, makin lama pakej → makin konsisten & berkesan untuk kesihatan mommy sepanjang berpantang.
Jelas tak penerangan saya? atau mommy ada soalan lag? saya sedia membantu.",Pantang Food,""
Boleh bagi contoh menu Pakej Pantang tu?,"Boleh sangat Puan/Encik 🌸 ini contoh menu yang biasanya ada dalam pakej Pantang Foods kami ya:

🍵 Sarapan → Oatmeal susu kambing + kurma / bubur halia (bantu tenaga & kurangkan angin)
🍛 Makan Tengah Hari → Nasi merah + ikan siakap stim halia + sayur sawi tumis bawang putih
🍲 Makan Malam → Sup ayam herba + ulam pegaga (baik untuk tenaga & pemulihan dalaman)
🍵 Minuman → Air herba / teh halia (untuk buang angin & lancarkan peredaran darah)

✨ Menu akan berubah setiap hari supaya mommy tak bosan, tetap sihat & sesuai untuk proses berpantang.",Pantang Food,""
Kalau nak tempah macam mana?,"Boleh Puan/Encik ✨ saya sertakan link tempahan mengikut pakej supaya lebih mudah terus pilih:
•        🍲 1 Hari 👉 https://appointment.flabee.com/bm/guest/services/1-day-pantang-food-package-
•        🍲 3 Hari 👉 https://appointment.flabee.com/bm/guest/services/3-days-pantang-food-package-
•        🍲 5 Hari 👉 https://appointment.flabee.com/guest/services/5-days-pantang-food-package-
•        🍲 10 Hari 👉 https://appointment.flabee.com/bm/guest/services/10-days-pantang-food-package-
•        🍲 20 Hari 👉 https://appointment.flabee.com/bm/guest/services/20-days-pantang-food-package-
•        🍲 40 Hari 👉 https://appointment.flabee.com/bm/guest/services/40-days-pantang-food-package-
Jika ada pertanyaan lanjut, saya sedia menjawab pertanyaan Puan/Encik pada bila-bila masa sahaja ya!",Pantang Food,https://appointment.flabee.com/bm/guest/services/1-day-pantang-food-package-       https://appointment.flabee.com/bm/guest/services/3-days-pantang-food-package-                https://appointment.flabee.com/guest/services/5-days-pantang-food-package-             https://appointment.flabee.com/bm/guest/services/10-days-pantang-food-package-         https://appointment.flabee.com/bm/guest/services/20-days-pantang-food-package-      https://appointment.flabee.com/bm/guest/services/40-days-pantang-food-package-
Boleh saya tahu info tentang postnatal massage?,"Boleh sangat, Puan/Encik 🌸
Di Flabee Touch, kami ada beberapa pilihan postnatal massage yang boleh dibuat di rumah:
✨ Info penuh → https://flabee.com/flabee-touch/                                                                                                                                                                                                                                                                                                                                 Pilihan pakej tempahan:
🌿 Postnatal Massage (Mother & Baby) – 1.5 jam (1 hari)
🌿 Postnatal Massage (Mother Only) – 1.5 jam (1 hari)
💛 Urutan ini memang bagus untuk pulihkan tenaga, lancarkan peredaran darah, kurangkan sakit badan & bantu mommy rasa lebih segar selepas bersalin.                                                                                                                                     Ada persoalan? Puan boleh je tanya saya ya!",Postnatal; Massage,https://flabee.com/flabee-touch/
Beza Postnatal Massage Mother Only dengan Mother & Baby macam mana ya?,"Okay Puan/Encik 💕 beza utamanya terletak pada siapa yang dirawat:
👩‍🍼 Postnatal Massage (Mother Only)
✔ Fokus pada mommy sahaja
✔ Urutan badan penuh 1.5 jam
✔ Bantu legakan lenguh, buang angin, lancarkan peredaran darah & pulihkan tenaga selepas bersalin
👩‍👶 Postnatal Massage (Mother & Baby)
✔ Mommy akan dapat urutan penuh seperti di atas
Baby juga akan dapat urutan lembut khas untuk bantu tidur lena, kurangkan kembung & sokong perkembangan awal bayi
✨ Jadi kalau mommy nak fokus recovery diri → ambil Mother Only
Kalau nak bonding time sambil baby pun rasa selesa → Mother & Baby pilihan terbaik 🤱",Postnatal; Massage,""
Berapa harga postnatal massage ya?,"👩‍🍼 Postnatal Massage Mother Only (1.5 jam) → RM180 / sesi
👩‍👶 Postnatal Massage Mother & Baby (1.5 jam) → RM200 / sesi
👉 Kalau ambil pakej lebih dari 1 sesi, biasanya lebih jimat 💛
Untuk tempahan cepat, boleh klik di sini ya:
Mother Only https://appointment.flabee.com/guest/services/[home]-postnatal-massage-mother-only-1.5-hour--1-days
Mother & Baby https://appointment.flabee.com/guest/services/[home]-postnatal-massage-mother-and-baby-1.5-hour--1-days
Kalau ada apa-apa soalan, saya sedia menjawabnya mommy!",Postnatal; Massage; Price,"Mother Only https://appointment.flabee.com/guest/services/[home]-postnatal-massage-mother-only-1.5-hour--1-days
Mother & Baby https://appointment.flabee.com/guest/services/[home]-postnatal-massage-mother-and-baby-1.5-hour--1-days"
"Kalau ambil lebih dari 1 sesi, ada pakej ke?","Ya betul Puan/Encik ✨ kalau ambil lebih dari 1 sesi, mommy akan dapat harga pakej yang lebih jimat & urutan pun lebih konsisten untuk recovery.
📌 Berikut antara pilihan Postnatal Massage di rumah:
👩‍🍼 Postnatal Massage – Mother Only
1 sesi (1.5 jam) → RM180
3 sesi → RM499
5 sesi → RM799
👩‍👶 Postnatal Massage – Mother & Baby
1 sesi (1.5 jam) → RM200
3 sesi → RM559
5 sesi → RM899
👉 Lagi banyak sesi → lagi jimat, dan badan mommy pun lebih cepat pulih 🌸                                                                                                                        Jika Puan ada persoalan lagi, jangan ragu-ragu untuk tanya saya lagi ya!",Postnatal; Massage,""
Boleh saya tahu info tentang baby spa?,"Boleh sangat, Puan/Encik 💕
Di Flabee, kami ada servis Baby Spa khas untuk bayi seawal 3 bulan sehingga 18 bulan dengan berat minimum 4.5kg. Ia merangkumi sesi berenang kecil (hydrotherapy) & urutan lembut untuk sokong perkembangan bayi ✨
👉 Mommy boleh tengok info penuh di sini:
https://flabee.com/flabee-splash-baby-spa-2/                                                                                                                                                                                   Puan boleh tanya apa-apa sahaja ya, saya sedia menjawabnya!",Baby Spa,https://flabee.com/flabee-splash-baby-spa-2/
Apa kebaikan baby spa ini?,"Baiklah Puan, ada beberapa kebaikannya, saya cuba senarikan ya!                                                                                                                                                                                                                                                                                         🌟 Antara kebaikan Baby Spa:
- Bantu bayi tidur lebih lena
- Sokong perkembangan motor & koordinasi
- Kurangkan kembung perut & colic
- Eratkan bonding antara mommy & baby
Jika Puan ada persoalan lagi, jangan ragu-ragu untuk tanya saya lagi ya!",Baby Spa,""
Baby Spa ni ada pakej apa ya? Berapa harga?,"Okay Puan/Encik 🌸 untuk sekarang, di Flabee kami hanya ada:
💦 Baby Spa – Self Service (20 minit)
📍 Lokasi: Flabee Seri Kembangan
💰 Harga: RM38.00 sahaja / sesi
👉 Mommy boleh tempah slot terus di link ini:
https://appointment.flabee.com/bm/guest/services/private-baby-spa-self-service-20-@-flabee-seri-kembangan                                                                                                                                                                                                                       ✨ Walaupun self-service, team Flabee akan guide & tunjuk cara, jadi mommy tetap rasa selesa & yakin.                                                                                                                                                                                                                                      Kalau ada apa-apa soalan, saya sedia menjawabnya mommy!",Baby Spa; Price,https://appointment.flabee.com/bm/guest/services/private-baby-spa-self-service-20-@-flabee-seri-kembangan
Apa yang termasuk dalam Baby Spa Self Service tu?,"Bagus soalan tu Puan/Encik 💕 walaupun konsepnya self-service, mommy jangan risau sebab:
✨ Dalam 1 sesi Baby Spa (20 minit), termasuk:
🛁 Kolam kecil khas (swimming tub) untuk baby
🧸 Mainan & floating toys untuk hiburan baby
📖 Step-by-step guide daripada team Flabee sebelum mula
💦 Air bersih & selamat untuk kegunaan bayi
💺 Ruang selesa untuk mommy/daddy temani baby sepanjang sesi
💛 Jadi mommy boleh DIY spa untuk si manja, sambil ada support dari team kami untuk pastikan pengalaman lebih mudah & selamat.                                                                                                                                                                                                                 Saya sedia membantu, kalau Puan ada apa-apa yang nak ditanya ya!",Baby Spa,""
Apa kebaikan Baby Spa untuk baby?,"Baiklah Puan, mari saya terangkan💕 Baby Spa ni memang banyak manfaat untuk si manja, antaranya:
✨ Kebaikan Baby Spa:
🌊 Hydrotherapy (mandi kolam) → bantu kuatkan otot, tulang & perkembangan motor baby
😴 Tidur lebih lena → baby lebih relaks & mudah tidur
🤰 Kurangkan kembung / colic → gerakan air membantu buang angin
🧠 Rangsangan deria → air + mainan bantu stimulasi deria baby
💛 Bonding time → mommy & daddy boleh lebih dekat dengan baby semasa sesi
Walaupun konsepnya self-service, team Flabee tetap guide sebelum mula supaya mommy/daddy yakin & selesa 🌸                                                                                                                                                                                                               Jika ada pertanyaan lanjut, saya sedia menjawab pertanyaan Puan/Encik pada bila-bila masa sahaja ya!",Baby Spa,""
Boleh saya tahu info tentang Gender Reveal Popper?,"Boleh sangat, Puan/Encik 🎉
Gender Reveal Popper ni barang kecil tapi boleh buat satu moment jadi sangat istimewa — sesuai untuk acara umum atau untuk share berita gembira bila dah tahu jantina bayi.
👉 Mommy boleh tengok servis popper Gender Reveal di sini: https://appointment.flabee.com/bm/guest/services/gender-reveal-popper-1-pcs                                                                                                                                                                ✨ Biasanya popper ni mengandungi konfeti berwarna (contoh: biru atau merah jambu), dan bila diputarkan ia akan “pop”konfeti keluar — cantik & mudah digunakan.                                                                                                               Saya sedia membantu, kalau Puan ada apa-apa yang nak ditanya ya!",Gender Reveal; Popper,https://appointment.flabee.com/bm/guest/services/gender-reveal-popper-1-pcs
Berapa harganya dan bagaimana cara pakai?,"Baik Puan/Encik 😊
Harga untuk satu popper adalah RM XX.00 (boleh sahkan di laman tempahan)
Cara pakai:
1.Pastikan popper ditahan ke atas atau ke arah yang selamat dan terbuka.
2.Memusing atau menarik bahagian atas (ikut jenis popper) untuk keluarkan konfeti.
3.Gunakan di tempat yang terbuka supaya konfeti tak jadi gangguan.
4.Bersihkan konfeti selepas selesai — kalau guna luar, kira-kira mudah dibersihkan.",Gender Reveal; Popper,""
hai boleh saya tanya berkenaan perkhidmatan sewaan Home Phototherapy,"Terima kasih atas pertanyaan anda mengenai perkhidmatan sewaan Home Phototherapy.* 😊

Kami menyediakan *khidmat sewaan phototherapy di rumah* yang dikendalikan oleh pasukan perubatan berpengalaman dan telah beroperasi selama *9 tahun*.

🔹 *Dijamin selamat & berkesan*
🔹 *Disahkan KKM & MDA certified*
🔹 Mesin jenis *LED berganda (double LED)* untuk rawatan yang lebih efektif
🔹 Set lengkap termasuk *eye patch & bassinet*
🔹 Mesin *mudah alih & kompak* – sesuai untuk kegunaan di rumah

📍 Kawasan liputan: KL, Selangor, Kuantan, Johor Bahru & Ipoh

*Kadar sewaan:*
💰 RM220/sehari (minimum sewaan 2 hari)
🚚 *Penghantaran PERCUMA* untuk kawasan sekitar KL
📦 Caj penghantaran RM120 untuk kawasan luar seperti Kuala Selangor, Serendah, Banting, Batang Kali & Rawang (termasuk pergi-balik + tol)
📅 Tambahan hari: RM120/hari
⚠ Caj tambahan dikenakan untuk pengesahan bayaran selepas jam 6 petang
✅ *Penghantaran segera* selepas pengesahan bayaran

Jika anda perlukan maklumat lanjut atau ingin membuat tempahan, sila berikan:
📌 Nama penuh ibu bapa
📌 Nama & umur bayi
📌 Alamat penuh penghantaran
📌 Tarikh mula sewaan

Kami sedia membantu bila-bila masa! 😊",Phototherapy,""
Boleh saya tahu info tentang Gender Reveal Balloon ?,"Boleh sangat, Puan/Encik 🎈
Kami ada Gender Reveal Balloon Set 01 di Flabee untuk menjadikan acara pengumuman jantina bayi anda lebih meriah!
✅ Harga: RM 200.00
✅ Apa termasuk: set belon dekorasi & susun atur khas untuk majlis anda
✅ Cara tempahan: tempah awal (2–3 minggu) supaya persiapan sempurna
✅ Maklumat yang diperlukan: nama, tarikh, waktu, alamat & jantina bayi
✅ Nota penting: caj penghantaran tidak termasuk, dan pembatalan saat akhir tiada refund (kecuali dalam kes tertentu)
👉 Untuk tempahan, Puan/Encik boleh klik pautan ini:
https://appointment.flabee.com/guest/services/gender-reveal-balloon-set-01",Gender Reveal; Balloon,https://appointment.flabee.com/guest/services/gender-reveal-balloon-set-01
Bagaiman cara nak tempah?,"Baiklah Puan/Encik, ini caranya:                                                                                                                                                                                                                                                                                                                                                                   ✅ Cara tempahan:
Whatsapp nombor 0143447226
Beritahu nama, alamat, dekorasi pilihan & masa penghantaran
Buat bayaran penuh & hantarkan resit
✅ Hanya servis penghantaran dalam kawasan Klang Valley                                                                                                                                                                                                                                                                                                               Saya sedia membantu, kalau Puan ada apa-apa yang nak ditanya ya!",Gender Reveal; Cupcakes,""
Gender reveal ni ada pakej yang lain-lain untuk buat pilihan?,"Ya, betul Puan! 🎉
Untuk kategori Gender Reveal Party, kami ada beberapa pilihan menarik:                                                                                                                                                                                                                                                                                         🎂 Pakej Kek 6 inci
🧁 Pakej Cupcakes Buttercream / Full Sugar (6 atau 9 pcs)
🎈 Pakej Belon Gender Reveal (Balloon & Popper version)
Semua ni boleh ditempah terus melalui link ini 👉 https://appointment.flabee.com/guest/services?category=gender-reveal-party
🔗 Klik di sini untuk lihat semua pakej Gender Reveal
Dalam link tu juga Puan boleh:
✅ Tengok harga & gambar pakej,
✅ Baca cara tempahan,
✅ & dapatkan nombor khidmat pelanggan kami untuk terus WhatsApp.
Kalau Puan ada pertanyaan lanjut boleh terus tanya saya!",Gender Reveal; All Package,https://appointment.flabee.com/guest/services?category=gender-reveal-party
Boleh saya tahu info tentang Newborn Photography?       atau                                                                                                                                                                                                                                 Ada pakej photoshoot baby baru lahir tak?,"Boleh sangat, Puan/Encik 📸✨
Kami di Flabee ada beberapa pakej Newborn Photography yang disediakan mengikut lokasi & keperluan ibu bapa. Semua dijalankan oleh jurugambar profesional kami ya 👶💕

Berikut senarai pakej yang tersedia:

1️⃣ Package A – 60 Minit Solo (KL & Selangor)
📍 Lokasi: Rumah pelanggan
📸 Sesuai untuk sesi baby sahaja
🔗 Klik sini untuk Package A https://appointment.flabee.com/guest/services/newborn-photography-package-a-60-mins-solo---kl-&-selangor

2️⃣ Package B – 90 Minit Couple (KL & Selangor)
📍 Lokasi: Rumah pelanggan
👨‍👩‍👧 Termasuk baby & ibu bapa bersama
🔗 Klik sini untuk Package B   https://appointment.flabee.com/guest/services/newborn-photography-package-b-90-mins-couple---kl-&-selangor

3️⃣ Package Studio – Ala Carte (Johor)
📍 Lokasi: Studio di Johor
🖼️ Pelanggan boleh pilih gaya & tema sendiri
🔗 Klik sini untuk Studio Johor    https://appointment.flabee.com/guest/services/newborn-photography-photoshoot-package-ala-carte-in-studio---johor

4️⃣ Package Studio – Kuantan
📍 Lokasi: Studio di Kuantan
✨ Dilengkapi set & props khas untuk baby
🔗 Klik sini untuk Studio Kuantan                    https://appointment.flabee.com/guest/services/newborn-photography-photoshoot-package-in-studio---kuantan

Puan/Encik boleh klik mana-mana pautan di atas untuk lihat harga, gambar contoh & cara tempahan.

Saya sedia membantu, kalau Puan ada apa-apa yang nak ditanya ya!",Newborn Photography; All Package,""
Boleh bantu saya cadangkan pakej paling sesuai ikut lokasi & bajet?”,"Boleh, Puan 💕
Untuk harga, setiap pakej berbeza ikut jenis & lokasi, tapi secara anggaran:
📸 Package A (Solo – KL/Selangor): sekitar RM3xx
📸 Package B (Couple – KL/Selangor): sekitar RM4xx
📸 Studio Johor / Kuantan: sekitar RM3xx–RM5xx bergantung kepada pilihan props & masa.
Puan/Encik boleh klik link di atas untuk lihat harga sebenar & pilihan add-on.
Nak saya bantu buat tempahan, atau ada apa-apa yang puan nak tanya?",Newborn Photography; Price,""
Kalau nak buat tempahan macam mana?,"Tempahan boleh dibuat terus melalui link pakej ya Puan:
✅ Pilih tarikh & masa
✅ Isi maklumat bayi
✅ Buat bayaran deposit / penuh (bergantung pada pakej)
Kalau perlukan bantuan terus, boleh juga WhatsApp team khidmat pelanggan kami melalui nombor yang tertera di laman tempahan. 💬                                                                                                                                                                        Saya sedia membantu jika Puan ada lagi pertanyaan ya!",Newborn Photography; Booking,""
Saya telah membuat imbasan di Sonobee tetapi terlupa membawa borang insurans untuk ditandatangani. Bolehkah saya datang walk-in untuk minta sonographer tandatangan?,"Maaf ya, sonographer tidak dibenarkan untuk menandatangani borang insurans. Hanya doktor O&G sahaja yang boleh menandatangani borang tersebut. Anda disarankan untuk merujuk kepada doktor O&G bagi tujuan tandatangan.",Insurance | Claim,""
Adakah Sonobee ada pelan bayaran ansuran bulanan?,"Ya, ansuran bulanan tersedia untuk pakej dengan harga minimum RM300.",Payment,""
Bolehkah Sonobee di bawah mana-mana panel insurans?,"Tidak, perkhidmatan Sonobee tidak boleh dituntut di bawah mana-mana panel insurans.",Insurance | Claim,""
Bolehkah suami dan anak-anak menemani masuk ke dalam bilik ultrasound?,"Ya, suami dan anak-anak dibenarkan masuk dan menemani semasa sesi imbasan di dalam bilik ultrasound.",Companion,""
Bila saya boleh dapatkan softcopy gambar imbasan saya?,"Softcopy akan dimuat naik ke dalam aplikasi Flabee Care dalam tempoh 3 hingga 5 hari bekerja. Jika masih belum diterima selepas 5 hari bekerja, puan boleh hubungi atau WhatsApp person in charge di 014-9137226. Terima kasih.","Ultrasound Image, Video",""
Adakah sonographer Sonobee di semua outlet diiktiraf dan berpengalaman untuk semua jenis imbasan?,"Ya, semua sonographer Sonobee terlatih dan berpengalaman dalam melakukan pelbagai jenis imbasan di semua outlet. Untuk peringkat senior, mereka juga telah menjalani peperiksaan yang diiktiraf oleh MFM, bagi memastikan standard kualiti imbasan yang konsisten dan tinggi.",Sonographer,""
Adakah Sonobee menyediakan perkhidmatan buka buku pink?,"Maaf puan, Sonobee tidak menyediakan perkhidmatan buka buku pink.",Report,""
